cik,fiscal_year,enforced
0000862861,2024,0
0000863894,2023,0
0000863894,2024,0
0000863894,2025,0
0000864240,2016,0
0000866273,2016,0
0000866273,2017,0
0000866374,2018,0
0000866374,2019,0
0000866374,2021,0
0000866374,2025,0
0000866439,2020,0
0000866439,2021,0
0000866439,2022,0
0000866439,2023,0
0000866439,2024,0
0000866439,2025,0
0000866787,2017,0
0000867665,2015,0
0000867665,2016,0
0000867665,2020,0
0000867665,2021,0
0000867687,2010,0
0000867687,2011,0
0000869531,2010,0
0000869531,2011,0
0000869531,2012,0
0000869531,2013,0
0000869531,2014,0
0000869531,2015,0
0000869531,2016,0
0000869531,2017,0
0000872912,2016,0
0000872912,2017,0
0000872912,2018,0
0000872912,2019,0
0000872912,2020,0
0000872912,2021,0
0000872912,2022,0
0000872912,2023,0
0000872912,2024,0
0000872912,2025,0
0000874015,2016,0
0000874238,2017,0
0000874396,2016,0
0000874396,2023,0
0000876343,2016,0
0000876343,2017,0
0000877860,2022,0
0000877860,2023,0
0000877860,2024,0
0000877860,2025,0
0000879101,2016,0
0000879169,2016,0
0000879911,2016,0
0000879911,2017,0
0000879911,2018,0
0000879911,2019,0
0000879911,2020,0
0000879911,2021,0
0000879911,2022,0
0000879911,2023,0
0000879911,2024,0
0000879911,2025,0
0000880117,2017,0
0000880446,2014,1
0000880641,2016,0
0000880807,2017,0
0000882154,2013,1
0000882154,2014,1
0000882154,2015,1
0000882184,2016,0
0000882291,2017,0
0000882291,2025,0
0000882291,2026,0
0000883107,2016,0
0000883107,2019,0
0000883107,2020,0
0000883107,2022,0
0000883569,2016,0
0000884144,2016,0
0000884144,2017,0
0000884624,2020,0
0000884624,2021,0
0000884940,2015,1
0000884940,2016,1
0000884940,2017,1
0000884940,2020,1
0000885322,2012,1
0000885322,2013,1
0000885725,2016,0
0000885725,2017,0
0000885725,2018,0
0000885725,2020,0
0000885725,2021,0
0000885725,2023,0
0000885725,2024,0
0000886163,2016,0
0000886475,2010,0
0000887151,2011,0
0000887151,2012,0
0000887151,2014,0
0000887151,2024,0
0000887151,2025,0
